ID,Cuerpo de Bomberos,URL,Logo Path,RUT,Numero de Socio,Fecha de Fundacion,Direccion,Telefono,Superintendente,Comandante,Numero de Companias,status
244,Cunco,https://app.bomberos.cl/info_crpo_web/?id=244,logos/244_Cunco.pjpeg,81.889.900-9,78,25-08-1929,Balmaceda 386,452573003,German Ramiro Valderrama Alvarez,Segundo Miguel Alvarez Parada,5,desde_app_bomberos
245,Curacautín,https://app.bomberos.cl/info_crpo_web/?id=245,logos/245_Curacautín.jpeg,81.811.800-7,168,16-11-1956,Arturo Prat 555,(45) 882846,Daniel Torres Lizama,Carlos Eduardo Sánchez García,5,desde_app_bomberos
246,Curarrehue,https://app.bomberos.cl/info_crpo_web/?id=246,logos/246_Curarrehue.png,72.179.100-9,243,12-10-1972,Bdo. O'higgins 487,(45) 1971558,Wendy Alexandra Undurraga Lira,Sebastian Adrian Gonzalez Hermosilla,3,desde_app_bomberos
247,Cherquenco,https://app.bomberos.cl/info_crpo_web/?id=247,logos/247_Cherquenco.png,71.671.400-4,72,31-07-1927,"Constitución 026, centro",(45) 566017,Jonathan Camilo Parra Muñoz,Darwin Octavio Farias Vega,3,desde_app_bomberos
248,Ercilla,https://app.bomberos.cl/info_crpo_web/?id=248,logos/248_Ercilla.jpg,70.675.000-2,215,25-01-1967,Rengo 400,(45) 817018,Erwin German Ruff Ruff,Rodrigo Alejandro Cortés Cifuentes,3,desde_app_bomberos
249,Freire,https://app.bomberos.cl/info_crpo_web/?id=249,logos/249_Freire.jpg,71.947.600-7,93,07-06-1936,Avenida Schleyer 172,(45) 391073,Hector Anibal Diaz Sepulveda,Carlos Roberto Campos Benavides,4,desde_app_bomberos
250,Galvarino,https://app.bomberos.cl/info_crpo_web/?id=250,logos/250_Galvarino.png,70.009.180-5,136,27-03-1949,Independencia 369,(45) 513035 - 513347,Carlos Andres Riffo Araneda,Oscar Joaquin Reidel Geoffroy,2,desde_app_bomberos
251,Gorbea,https://app.bomberos.cl/info_crpo_web/?id=251,logos/251_Gorbea.png,70.011.320-5,50,05-01-1908,Ramón Freire 699,(45) 491021,Santiago Hernán Sanhueza Prado,Matías Ignacio Guzmán Echeverría,3,desde_app_bomberos
252,Lastarria,https://app.bomberos.cl/info_crpo_web/?id=252,logos/252_Lastarria.png,81.949.500-9,209,22-01-1965,18 De Septiembre 351,(45) 2829304,Iván Leonidas Riquelme Marín,Magdiel Neftali Araya Garrido,2,desde_app_bomberos
253,Lautaro,https://app.bomberos.cl/info_crpo_web/?id=253,logos/253_Lautaro.png,81.597.000-4,48,24-10-1907,Francisco Bilbao 245,(45) - 53 19 05,Alejandro Eduardo Rosales Moraga,Claudio Andrés Paredes Poblete,5,desde_app_bomberos
254,LicanRay,https://app.bomberos.cl/info_crpo_web/?id=254,logos/254_LicanRay.jpg,70.524.600-9,242,18-09-1972,"Cacique Millaqueo 376, Licán-Ray",(45) 2 431274,Maximiliano Andres Fernández Ovalle,Juan Carlos Rainahuel Rainahuel,1,desde_app_bomberos
255,Loncoche,https://app.bomberos.cl/info_crpo_web/?id=255,logos/255_Loncoche.png,74.525.200-1,52,14-04-1908,Arturo Pratt 508,(45) 471085,Gladys Del Carmen Cerda Bonilla,Luis Cristian Rubio Flores,6,desde_app_bomberos
256,Lonquimay,https://app.bomberos.cl/info_crpo_web/?id=256,logos/256_Lonquimay.png,70.547.000-6,253,20-06-1977,O'Higgins 1195,045-891063 / 045-990314,Alexandra Nicol Cerda Cid,Juan Ignacio Leon Purran,5,desde_app_bomberos
257,Los Sauces,https://app.bomberos.cl/info_crpo_web/?id=257,logos/257_Los Sauces.pjpeg,71.519.900-9,101,02-10-1939,Independencia S/n,45 783030,Estefania Beatriz Riveros Pavez,Guillermo Rifo Catalán,4,desde_app_bomberos
258,Lumaco,https://app.bomberos.cl/info_crpo_web/?id=258,logos/258_Lumaco.jpg,70.219.700-7,224,14-04-1968,Balmaceda 453,452815093,Roque Eduardo Leonelli Regla,Carolina Del Carmen Ghiselini Sura,1,desde_app_bomberos
259,Melipeuco,https://app.bomberos.cl/info_crpo_web/?id=259,logos/259_Melipeuco.jpg,72.464.400-7,278,28-01-1994,Aurelio Letelier 400,(452) 581013,Daniela Francheska Campos Antiman,Wuilson Isac Suazo Soto,2,desde_app_bomberos
260,Nueva Imperial,https://app.bomberos.cl/info_crpo_web/?id=260,logos/260_Nueva Imperial.jpg,81.749.000-K,53,14-06-1909,"Vicuña Mackenna 430, centro",452612659 - 452990310,Ricardo Adán Peña Curifuta,Manuel Hernán Peña Beroíza,3,desde_app_bomberos
261,Perquenco,https://app.bomberos.cl/info_crpo_web/?id=261,logos/261_Perquenco.png,71.192.900-2,254,20-09-1977,"Orella 541, Sector centro urbano",45- 537026,Juan Luis Opazo Jofre,Alvaro Manuel Muñoz Montre,1,desde_app_bomberos
262,Pitrufquén,https://app.bomberos.cl/info_crpo_web/?id=262,logos/262_Pitrufquén.jpg,70.009.800-1,58,10-09-1911,Andrés Bello 841,45 391040 - 45 393348,Jaime Alejandro Obreque Toro,Felipe Andres Salazar Gonzalez,7,desde_app_bomberos
263,Pucón,https://app.bomberos.cl/info_crpo_web/?id=263,logos/263_Pucón.jpeg,82.183.000-1,115,03-10-1943,"Bernardo ohiggins 461, centro",452441969,Juan Elias Matus Castillo,Eduardo Pacian Rivera Ibacache,4,desde_app_bomberos
264,Puerto Saavedra,https://app.bomberos.cl/info_crpo_web/?id=264,logos/264_Puerto Saavedra.png,70.009.400-6,159,11-09-1954,Patricio Lynch 252,45 634061,Hugo Fernando Silva Nahuelcoy,Carlos Leonardo Fiedler Campos,3,desde_app_bomberos
265,Purén,https://app.bomberos.cl/info_crpo_web/?id=265,logos/265_Purén.png,70.620.100-9,207,24-11-1964,Tromen 1099,452793012,Ismael Rafael Eduardo Rivas Troncoso,Alexis Yuani Gutierrez Manriquez,2,desde_app_bomberos
266,Quitratúe,https://app.bomberos.cl/info_crpo_web/?id=266,logos/266_Quitratúe.jpeg,82.105.000-6,176,03-05-1959,"Jose Miguel Carrera, Quitratue 600",442461319,Boris Edmundo Aravena Robles,Mauricio Alberto Espinoza Villagran,2,desde_app_bomberos
267,Renaico,https://app.bomberos.cl/info_crpo_web/?id=267,logos/267_Renaico.png,70.007.100-6,150,24-11-1952,Caupolicán 100,(45) 774007,Bastián Alejandro Hidalgo Igor,Sebastian Andres Alarcon Espinoza,3,desde_app_bomberos
268,Temuco,https://app.bomberos.cl/info_crpo_web/?id=268,logos/268_Temuco.jpg,70.012.000-7,34,18-02-1899,Prieto Norte 430,(45) 210116 - 214702,Alfredo Rene Lassalle Calfunao,Claudio Gonzalo Fuentes Pacheco,14,desde_app_bomberos
269,Teodoro Schmidt,https://app.bomberos.cl/info_crpo_web/?id=269,logos/269_Teodoro Schmidt.jpg,72.322.600-7,274,13-01-1989,J.M. Balmaceda 300,+56452664016 -  NGN +56452464200,Dionicio Alberto Rifo Tejo,Carlos Gabriel Llanos Padilla,3,desde_app_bomberos
270,Toltén,https://app.bomberos.cl/info_crpo_web/?id=270,logos/270_Toltén.png,70.693.400-6,139,12-03-1950,"Bernardo O´Higgins 520, centro",(45) 671062,Rigoberto Aquiles Negron Santander,Rodrigo Holzapfel Astroza,5,desde_app_bomberos
271,Traiguén,https://app.bomberos.cl/info_crpo_web/?id=271,logos/271_Traiguén.png,81.835.000-7,117,09-12-1943,"Coronel Urrutia 330, plaza",(45) 861127- 862347,Javier Felidor Godoy Hernandez,Roberto Carlos Uribe Fuentes,4,desde_app_bomberos
272,Victoria,https://app.bomberos.cl/info_crpo_web/?id=272,logos/272_Victoria.jpg,81.751.000-0,134,13-01-1948,Ramírez 475,(45) 843966 - 841385 - 841352,Alberto Francisco Soto Ortega,Alvaro Alejandro Leon Parada,7,desde_app_bomberos
273,Vilcún,https://app.bomberos.cl/info_crpo_web/?id=273,logos/273_Vilcún.jpg,82.104.700-5,71,11-12-1926,A. Pratt 267,045-562103,Patricio Ramiro Quilacan Quintuman,Juan Pablo Mora Salas,3,desde_app_bomberos
274,Villarrica,https://app.bomberos.cl/info_crpo_web/?id=274,logos/274_Villarrica.jpg,70.439.200-1,94,12-08-1938,"Valentín Letelier 630, Centro",452411104-452416177,Carlos Augusto Mera Bastidas,Fidel René Ortega Quezada,5,desde_app_bomberos
275,Achao,https://app.bomberos.cl/info_crpo_web/?id=275,logos/275_Achao.png,70.050.400-K,36,24-01-1900,Zoilo Sierpe García 05,(65) 661411,Marcos Rene Uribe Oyarzún,Clobis Mauricio Oyarzo Oyarzo,5,desde_app_bomberos
276,Ancud,https://app.bomberos.cl/info_crpo_web/?id=276,logos/276_Ancud.jpg,81.500.800-6,2,12-02-1856,Eleuterio Ramírez 210,(065) 622326,Marcos Aurelio Villarroel Ruiz,Eduardo Andrés Díaz González,5,desde_app_bomberos
277,Antilhue,https://app.bomberos.cl/info_crpo_web/?id=277,logos/277_Antilhue.png,81.750.000-5,164,31-01-1956,Bernardo O'Higgins S/n,948175009,Victor Fica Fica,Natanael Rigoberto Albornoz Medina,1,desde_app_bomberos
278,Calbuco,https://app.bomberos.cl/info_crpo_web/?id=278,logos/278_Calbuco.jpg,82.160.200-9,37,31-08-1902,Ernesto Riquelme 116,65 2 461 846,Ivan Anselmo Vásquez Gómez,Carlos Almonacid Moraga,5,desde_app_bomberos
279,Castro,https://app.bomberos.cl/info_crpo_web/?id=279,logos/279_Castro.png,82.832.200-1,32,08-03-1896,"Bernardo O'Higgins 308, Sector Centro",65 2 633008,Mirko Santiago Cardenas Cartes,Nilsson Christopher Serey Fernandez,7,desde_app_bomberos
280,Corte Alto,https://app.bomberos.cl/info_crpo_web/?id=280,logos/280_Corte Alto.jpg,71.198.800-9,127,18-08-1946,"Vicuña Mackenna S/n, BARRIO",(64) 351243,Helmuth Cristobal Vera Alvarado,Alexis Alejandro Oporto Garcia,2,desde_app_bomberos
281,Corral,https://app.bomberos.cl/info_crpo_web/?id=281,logos/281_Corral.jpg,81.504.100-3,88,04-09-1934,"Miraflores 95, Corral Alto",(63) 2471370 / 2335205,Denis Raquel Bizama Vasquez,Ricardo Marcelo Atencio Coronado,4,desde_app_bomberos
282,Crucero,https://app.bomberos.cl/info_crpo_web/?id=282,logos/282_Crucero.jpg,71.467.300-9,189,16-11-1961,"TENIENTE ORELLA S/N, CRUCERO",64-2632544,Kerem Daniela Gonzalez Solis,José Namillanca Oyarzo,6,desde_app_bomberos
283,Curaco De Vélez,https://app.bomberos.cl/info_crpo_web/?id=283,logos/283_Curaco De Vélez.jpg,70.007.000-K,64,04-01-1917,"21 De Mayo 06, Frente a Plaza de Armas",(65) 2667392,America Belen Feria Atenas,Williams Patricio Soto Barria,4,desde_app_bomberos
284,Chaiten,https://app.bomberos.cl/info_crpo_web/?id=284,logos/284_Chaiten.pjpeg,71.304.100-9,203,18-08-1963,Diego Portales 517,652731266,Juan Angelo Carrillo Vera,Audito Eliseo Oyarzo Chacano,3,desde_app_bomberos
285,Chacao,https://app.bomberos.cl/info_crpo_web/?id=285,logos/285_Chacao.png,75.984.560-9,288,08-01-2000,Bellavista 145,(65) 2696323,Luis Axel Guerrero Muñoz,Ricardo Andrés Díaz Barrera,1,desde_app_bomberos
286,Chonchi,https://app.bomberos.cl/info_crpo_web/?id=286,logos/286_Chonchi.png,70.001.600-5,44,13-04-1905,Lib. Bernardo O'Higgins S/n,(65) 671331 - 671272,Ricardo Antonio Gacitua Espinoza,Alex Erardo Tomas Macias Vera,5,desde_app_bomberos
287,Choshuenco,https://app.bomberos.cl/info_crpo_web/?id=287,logos/287_Choshuenco.jpg,71.012.500-7,228,18-08-1968,Padre Bernabé s/n,(63) 2318232,Katterin Hornela Alarcón Rojas,Pedro Correa Rebolledo,4,desde_app_bomberos
288,Dalcahue,https://app.bomberos.cl/info_crpo_web/?id=288,logos/288_Dalcahue.jpg,70.009.900-8,80,10-08-1930,Mocopulli 25,(65) 2641315,Artemio Román Valencia Contreras,Cristian Heraldo Vargas Torres,5,desde_app_bomberos
289,Entre Lagos,https://app.bomberos.cl/info_crpo_web/?id=289,logos/289_Entre Lagos.jpg,71.343.300-4,195,21-06-1962,"Lord Cochrane 178, el colorado",(64) 371222 - 371265,Juan Pablo Molina Herrera,Victor Leonardo Guzman Aguilar,2,desde_app_bomberos
290,Fresia,https://app.bomberos.cl/info_crpo_web/?id=290,logos/290_Fresia.png,70.008.700-K,97,31-07-1938,San Carlos 402,(65) 441222,Erwin Andrés Díaz Añazco,Matías Fernando Carrasco Bastidas,5,desde_app_bomberos
291,Frutillar,https://app.bomberos.cl/info_crpo_web/?id=291,logos/291_Frutillar.png,70.081.700-8,61,13-08-1913,"Philippi 1065, Frutillar Bajo",652421411,Angela Virgilia Rodriguez Vargas,Guillermo Fideli Mansilla,6,desde_app_bomberos
292,Futaleufu,https://app.bomberos.cl/info_crpo_web/?id=292,logos/292_Futaleufu.png,71.339.300-2,173,04-02-1958,Gabriela Mistral 212,(65) 721232,Gloria Albornoz Sepulveda,Oscar Javier Torres Salazar,1,desde_app_bomberos
293,Lolol,https://app.bomberos.cl/info_crpo_web/?id=293,logos/293_Lolol.png,65.147.080-3,294,22-07-1956,"Los Alerces 135, URBANO",722824670,Tito Gabriel Correa Verdugo,Joaquin Ignacio Verdugo Nuñez,1,desde_app_bomberos
295,El Palqui,https://app.bomberos.cl/info_crpo_web/?id=295,logos/295_El Palqui.jpg,82.715.200-5,231,09-03-1969,"Galvarino 104, el palqui",(53) 711012,Jordan Nicolas Zepeda Aguirre,Luis Fernando Venegas Gonzalez,7,desde_app_bomberos
296,Maule,https://app.bomberos.cl/info_crpo_web/?id=296,logos/296_Maule.jpg,65.453.290-7,297,14-06-2002,"1 Oriente nro. 662 con Yerbas Buenas S/n, Villa Dona Antonia",(71)2 631103,Fernando Matias Diaz Bravo,Matias Osvaldo Urra Loyola,5,desde_app_bomberos
297,Pelarco,https://app.bomberos.cl/info_crpo_web/?id=297,logos/297_Pelarco.jpg,65.221.700-1,295,24-06-1984,San Pedro S/N,(71) 1970295,Carlos Verdugo Perez,Juan Ignacio Ramirez Retamal,2,desde_app_bomberos
298,Alto Hospicio,https://app.bomberos.cl/info_crpo_web/?id=298,logos/298_Alto Hospicio.png,65.474.790-3,299,24-08-1998,"Pasaje Noruega S/n, ALTO HOSPICIO",(57)499390,Marcelo Paul Zúñiga Schampke,Wilfredo Arturo Ramirez Mariguala,4,desde_app_bomberos
299,Diego De Almagro,https://app.bomberos.cl/info_crpo_web/?id=299,logos/299_Diego De Almagro.jpeg,65.422.480-3,298,28-11-2002,Juan Martínez 1501,(52)538941,Mario Alejandro Gaete Godoy,Arnoldo Leandro Uribe Guerra,2,desde_app_bomberos
605,La Higuera,https://app.bomberos.cl/info_crpo_web/?id=605,logos/605_La Higuera.png,65.189.740-8,302,10-11-2005,"Violeta Seura S/n, Alto",940123300,Norman Hugo Bugueño Guerrero,Rodrigo Urrutia Zárate,2,desde_app_bomberos
606,Hualpén,https://app.bomberos.cl/info_crpo_web/?id=606,logos/606_Hualpén.png,65.592.690-9,300,19-03-2005,"Alemania 2828, HUALPEN",412424258,Ruben Andres Aguila Mariman,Miguel Andres Valenzuela Sanchez,2,desde_app_bomberos
607,Metropolitano Sur,https://app.bomberos.cl/info_crpo_web/?id=607,logos/607_Metropolitano Sur.jpg,65.600.110-0,301,11-10-2004,San Nicolás 1153,228893300 - 225598341 - 225255147,Rodrigo Marin Jelves,Sergio Navarro Meezs,12,desde_app_bomberos
608,Pencahue,https://app.bomberos.cl/info_crpo_web/?id=608,logos/608_Pencahue.png,65.570.330-6,307,19-07-1994,Hernando Bravo De Villalba 1095,71-1971302,José Antonio Aguilar Muñoz,Eugenio Antonio Rojas Rebolledo,3,desde_app_bomberos
610,Rinconada,https://app.bomberos.cl/info_crpo_web/?id=610,logos/610_Rinconada.jpg,70.380.500-0,220,22-11-1967,San Martin 2502,(34) 2401022,Segundo Joaquin Diaz Santibanez,Ariel Elias Flores Montenegro,1,desde_app_bomberos
611,Río Negro,https://app.bomberos.cl/info_crpo_web/?id=611,logos/611_Río Negro.pjpeg,82.173.400-2,57,04-01-1911,"Pedro Aguire Cerda 215, sector",(64) 361222,Alfonso Azocar Cabrera,Gustavo Alexis Diaz Rojas,4,desde_app_bomberos
612,Santa Rosa De Huantajaya,https://app.bomberos.cl/info_crpo_web/?id=612,logos/612_Santa Rosa De Huantajaya.jpg,65.636.720-2,304,07-03-2006,"Los Alamos 3007, caliche 3",57 - 2499871 / 57-2493025,Carlos Alberto Fuentealba Delgado,Ivan   Antonio Espinoza Torres,3,desde_app_bomberos
613,Sierra Gorda,https://app.bomberos.cl/info_crpo_web/?id=613,logos/613_Sierra Gorda.png,65.636.620-6,305,04-02-2005,Calle Jaime Guzmán 200,,Juan Carlos Pizarro Ramirez,Richard Christopher Anderson Lahaye,2,desde_app_bomberos
614,Cochamó,https://app.bomberos.cl/info_crpo_web/?id=614,logos/614_Cochamó.jpg,65.648.190-0,303,22-11-1984,"Moises morales S/n, Sector",940648093,Celso Soto Cárdenas,Héctor Hugo Fuentealba Huinca,5,desde_app_bomberos
616,San Pedro De Atacama,https://app.bomberos.cl/info_crpo_web/?id=616,logos/616_San Pedro De Atacama.png,65.649.040-3,306,09-07-2005,"El Inca 350, Población Condeduque",933978288,Francisco José Barrios Casas,--,3,desde_app_bomberos
617,Quinta De Tilcoco,https://app.bomberos.cl/info_crpo_web/?id=617,logos/617_Quinta De Tilcoco.png,71.306.300-2,263,12-09-1982,AV CAstro 583,072 - 541395,Luis Enrique Galvez Castillo,José Eduardo Salas Salas,1,desde_app_bomberos
618,Virtual,https://app.bomberos.cl/info_crpo_web/?id=618,logos/618_Virtual.jpg,11.111.111-1,,12-03-2014,Avda. Bustamante 86,02-8160000,Marcelo Bustos Bustos,Daniel Alejandro Ramirez Rivera,6,desde_app_bomberos
619,Chol-Chol,https://app.bomberos.cl/info_crpo_web/?id=619,logos/619_Chol-Chol.png,65.756.500-8,308,17-06-2006,"Balmaceda 510, Frente Plaza de armas",452-528764/ 629495,Eduardo Enrique Pranao Curin,Alvaro Riquelme Jimenez,1,desde_app_bomberos
620,Camiña,https://app.bomberos.cl/info_crpo_web/?id=620,logos/620_Camiña.jpg,65.859.510-5,309,11-05-2006,Bernardo O'Higgins S/n,973908778,Fernando Lorenzo Morales Luza,Marco Antonio Lopez Ahumada,2,desde_app_bomberos
621,Paihuano,https://app.bomberos.cl/info_crpo_web/?id=621,logos/621_Paihuano.png,65.016.356-7,312,29-06-2009,Balmaceda 129,(51)451071,Juan Carlos Astorga Angel,Mauricio Danilo Astorga Angel,3,desde_app_bomberos
622,Carretera Austral,https://app.bomberos.cl/info_crpo_web/?id=622,logos/622_Carretera Austral.png,65.026.054-6,313,15-02-2010,"Chamiza km 8,5 S/n",965710464,Francisco Alberto Silva Santibañez,Yenifer Yamilet Cárcamo Cuyul,3,desde_app_bomberos
623,virtualv2,https://app.bomberos.cl/info_crpo_web/?id=623,logos/623_virtualv2.png,0000000-0,,,Bustamante 86,02-8160000,Pedro Antonio Cabrera Urrutia,--,1,desde_app_bomberos
624,Virtualv3,https://app.bomberos.cl/info_crpo_web/?id=624,logos/624_Virtualv3.png,11111111,,,virtualv3,5555555,Mejillones Contabilidad Contabilidad,Rebeca Ferrada Saldias,4,desde_app_bomberos
625,Canela,https://app.bomberos.cl/info_crpo_web/?id=625,logos/625_Canela.jpg,65.001.767-6,310,27-12-2007,"Ignacio Carrera Pinto 430, Canela Baja",053-540348,Claudia Patricia Contreras Vivanco,Julio Adrian Vicencio Bugueño,3,desde_app_bomberos
626,Río Hurtado,https://app.bomberos.cl/info_crpo_web/?id=626,logos/626_Río Hurtado.jpg,65.009.135-3,311,13-04-2007,"HURTADO SIN NUMERO, VILLA PROCASA",934277157,Natalia Ivonne Silva González,Luis Arnoldo Vega González,2,desde_app_bomberos
627,María Elena,https://app.bomberos.cl/info_crpo_web/?id=627,logos/627_María Elena.png,65.019.721-6,314,25-06-2012,Avenida Ohiggins 447,055 - 413999 / 7759 8518,Jaime Francisco Dominguez Mena,Joaquin Andres Lopez Honores,2,desde_app_bomberos
628,O'Higgins de Arica,https://app.bomberos.cl/info_crpo_web/?id=628,logos/628_OHiggins de Arica.png,,,,,,Hernán Alfredo Lagos Zúñiga,Mario Alejandro Alfaro Osorio,1,desde_app_bomberos
629,Melinka,https://app.bomberos.cl/info_crpo_web/?id=629,logos/629_Melinka.jpg,74.796.700-8,315,07-12-1997,AEROPUERTO S/N,932703623,Jaime César Mera Fernandez,Adela Alejandra Nahuelquin Nahuelquin,1,desde_app_bomberos
630,Palmilla,https://app.bomberos.cl/info_crpo_web/?id=630,logos/630_Palmilla.jpg,65.155.106-4,,03-06-2017,"Avenida Presidente Anibal Pinto 3, Poblacion Palmilla Ltda.",722825624,Gabriel Eduardo Paredes Orellana,Joel Antonio Valenzuela Fuenzalida,2,desde_app_bomberos
631,San Fabián de Alico,https://app.bomberos.cl/info_crpo_web/?id=631,logos/631_San Fabián de Alico.png,65220232-2,,04-12-2022,Caupolicán s/n,442901307,Marcela Mora Montecinos,Hector Andres Riveros Maturana,1,desde_app_bomberos
